emails,rating,height,bmi,yrs_education,age,days_active
9,0.4383804,61,23.61596,18,3,108
80,1.102831,69.5,19.64805,16,2,49
8,-0.7654316,67.5,27.00137,16,2,82
9,-0.7574978,65.5,28.67549,16,3,108
23,-0.5236718,61,29.28379,16,3,92
13,0.5015828,65.5,25.39829,16,3,39
25,0.1377069,65.5,28.67549,18,1,108
45,-0.1771586,61,23.61596,12.5,3,108
91,1.469468,61,19.83741,16,2,108
63,1.121223,65.5,22.12109,14,1,108
10,-0.460865,69.5,21.10346,12,1,67
2,-0.5220547,69.5,22.55887,16,3,25
6,1.747682,63.5,23.53649,16,1,3
81,0.3101929,67.5,20.82963,18,2,98
15,-0.4407039,61,25.50524,16,1,89
1,-0.3321169,61,21.72669,16,1,3
24,0.4573144,65.5,22.12109,16,2,108
19,-0.0663652,63.5,25.27993,12.5,1,58
2,-0.2144501,63.5,18.30616,18,2,108
24,0.511351,65.5,22.12109,16,1,73
27,-0.1430766,63.5,23.53649,12.5,2,108
30,0.9753779,67.5,19.28669,17.5,1,67
11,-0.233475,63.5,18.30616,21,3,108
2,-0.2989516,61,23.61596,18,2,21
12,-0.552048,63.5,23.53649,18,3,108
32,-0.861046,63.5,23.53649,16,2,108
14,-0.6801075,61,19.83741,18,3,58
2,-0.8076969,67.5,27.00137,16,2,67
21,0.152641,61,19.83741,12.5,3,60
3,-0.7450994,61,33.06235,8,2,92
52,0.1498426,65.5,22.12109,16,3,108
56,0.5083387,63.5,27.02337,17.5,1,83
13,-0.5602314,69.5,19.64805,16,1,108
24,-0.5301586,69.5,21.10346,16,3,71
31,0.3117459,71.5,21.31449,12.5,1,104
59,0.7085791,61,21.72669,12.5,2,99
27,0.4200003,63.5,25.27993,18,1,67
25,-0.0137883,63.5,20.0496,15,3,81
20,0.4965334,67.5,19.28669,18,3,108
60,1.129978,65.5,20.48249,17,1,108
33,0.0137284,67.5,22.37256,18,2,59
0,0.4568363,65.5,18.84389,18,3,10
5,0.2845019,63.5,21.79304,18,2,15
48,0.0628278,65.5,20.48249,13,3,108
49,-0.6872761,61,19.83741,16,2,108
19,-0.1494235,63.5,20.0496,18,3,108
15,0.5385634,69.5,28.38052,17.5,1,108
7,-0.5891886,67.5,30.08724,12.5,1,48
25,-0.0768352,63.5,21.79304,16,2,23
18,0.269233,63.5,21.79304,16,3,108
42,0.2289228,63.5,23.53649,16,2,108
11,-0.2644413,63.5,23.53649,12.5,3,56
50,-0.2099876,65.5,17.20529,18,3,90
1,-0.1103808,67.5,22.37256,16,3,108
55,0.0596598,63.5,21.79304,14,2,108
11,0.8165883,65.5,20.48249,18,2,108
2,-0.192781,63.5,21.79304,16,3,25
33,-0.3359836,63.5,21.79304,18,3,86
10,0.1941579,65.5,18.84389,16,3,43
12,-0.1354211,65.5,18.84389,16,3,108
11,0.0029105,67.5,20.82963,18,2,108
15,1.393796,67.5,36.25898,16,1,64
31,-0.5258729,63.5,21.79304,16,2,108
25,0.1445985,63.5,25.27993,18,1,16
7,-0.0425153,65.5,23.75969,16,3,108
22,-0.3754727,61,19.83741,18,2,46
3,-0.6278487,63.5,20.0496,16,2,81
29,-0.0384772,69.5,24.01428,15,2,52
10,-0.1600867,67.5,27.00137,16,1,70
40,-0.042419,61,21.72669,21,1,15
46,0.3642016,63.5,20.0496,12.5,1,20
0,-0.1900517,71.5,26.815,18,2,108
41,1.181429,69.5,22.55887,12.5,1,59
24,0.023841,63.5,32.2537,12.5,1,52
12,-0.0148915,65.5,23.75969,18,1,46
12,-0.7510876,65.5,18.84389,16,1,4
30,-0.4053971,67.5,19.28669,16,3,108
84,0.2813942,69.5,22.55887,16,3,108
13,-0.2417326,69.5,18.19264,14,1,65
43,-0.0175251,63.5,18.30616,16,3,73
2,-1.002273,63.5,25.27993,12.5,3,30
10,-0.419131,65.5,31.95268,12.5,1,11
14,0.1254174,63.5,21.79304,16,2,108
3,0.1620107,63.5,25.27993,13,2,34
5,0.1659233,67.5,20.82963,16,3,4
3,-0.1761278,69.5,22.55887,18,3,108
1,-0.5517719,63.5,30.51026,17,3,57
30,1.145156,67.5,19.28669,14,1,37
18,0.323341,63.5,20.0496,12.5,1,108
55,-0.2181479,63.5,25.27993,16,3,108
15,0.0641049,65.5,23.75969,16,2,108
3,-0.8853953,63.5,18.30616,12.5,1,108
4,0.2874862,61,21.72669,16,2,61
