emails,rating,height,bmi,yrs_education,age,days_active
28,0.3891117,69.5,25.4697,21,2,59
2,-0.394565,75.5,28.98206,21,2,108
2,-0.3156754,65.5,25.39829,18,3,106
21,0.8793929,71.5,25.43987,16,2,108
4,-1.013457,69.5,26.92511,16,2,108
5,-0.7419181,69.5,29.83593,18,3,23
4,-0.2720508,75.5,20.34911,17.5,3,90
12,0.2339705,69.5,25.4697,16,1,108
7,-0.8884462,69.5,24.01428,12,2,93
1,-0.3102659,71.5,26.815,12,3,73
17,-0.6077155,71.5,26.815,18,2,108
3,-0.0277176,69.5,29.83593,18,3,108
10,-0.0236769,69.5,24.01428,18,2,108
1,-0.8528556,65.5,28.67549,12.5,3,108
0,-0.2016395,69.5,29.83593,16,1,6
4,-0.5842295,69.5,26.92511,18,3,53
6,-0.1929489,75.5,22.81567,16,3,108
3,0.0113064,69.5,28.38052,18,1,51
6,-0.7990289,71.5,32.31552,12.5,2,92
21,0.2589492,73.5,24.07423,18,2,108
3,-0.0422263,75.5,26.5155,18,1,83
33,0.2675867,71.5,25.43987,16,1,62
10,0.3498076,73.5,17.56768,12.5,1,45
57,-0.3552479,75.5,24.04894,16,3,24
9,0.2319514,73.5,26.67685,16,2,108
0,-0.7774007,69.5,26.92511,15,3,19
5,0.1215258,73.5,25.37554,16,1,46
6,0.2235813,71.5,25.43987,16,1,58
1,-0.2542708,73.5,26.67685,16,2,78
2,-0.6186508,69.5,29.83593,16,3,58
11,0.3041007,69.5,25.4697,18,1,36
0,0.0766495,71.5,26.815,17.5,1,108
13,0.2531239,69.5,24.01428,12,2,108
6,-0.6649362,69.5,28.38052,16,2,108
0,-0.464739,69.5,26.92511,21,2,67
0,-0.8211172,69.5,25.4697,18,1,88
0,-0.5687149,65.5,22.12109,18,1,15
5,-0.4688827,69.5,24.01428,8,3,46
0,-0.7997152,67.5,25.45844,18,3,23
10,0.7426907,71.5,25.43987,18,2,43
21,-0.0726248,71.5,28.19013,16,3,69
